idx_ogd,idx_all,match_rule,score
155,0,email_unique,
156,1,email_unique,
190,2,email_unique,
157,3,email_unique,
189,4,email_unique,
173,6,email_unique,
175,7,email_unique,
163,8,email_unique,
158,9,email_unique,
194,10,email_unique,
162,11,email_unique,
187,12,email_unique,
164,13,email_unique,
177,15,email_unique,
167,16,email_unique,
188,18,email_unique,
170,19,email_unique,
169,20,email_unique,
168,21,email_unique,
171,22,email_unique,
172,23,email_unique,
184,24,email_unique,
160,25,email_unique,
176,26,email_unique,
191,27,email_unique,
161,28,email_unique,
174,29,email_unique,
178,30,email_unique,
179,31,email_unique,
58,36,email_unique,
59,37,email_unique,
60,38,email_unique,
61,39,email_unique,
62,40,email_unique,
85,41,email_unique,
65,44,email_unique,
66,45,email_unique,
67,47,email_unique,
69,49,email_unique,
145,50,email_unique,
134,60,email_unique,
74,61,email_unique,
131,63,email_unique,
77,65,email_unique,
78,66,email_unique,
80,68,email_unique,
81,69,email_unique,
82,70,email_unique,
150,73,email_unique,
84,75,email_unique,
88,77,email_unique,
89,78,email_unique,
90,79,email_unique,
91,80,email_unique,
94,87,email_unique,
144,91,email_unique,
96,92,email_unique,
2,94,email_unique,
15,95,email_unique,
30,96,email_unique,
21,97,email_unique,
5,98,email_unique,
23,101,email_unique,
9,102,email_unique,
34,103,email_unique,
12,104,email_unique,
13,105,email_unique,
45,106,email_unique,
50,107,email_unique,
33,108,email_unique,
802,134,email_unique,
378,135,email_unique,
407,136,email_unique,
553,138,email_unique,
472,139,email_unique,
803,140,email_unique,
555,141,email_unique,
808,142,email_unique,
671,143,email_unique,
804,144,email_unique,
796,145,email_unique,
381,146,email_unique,
380,147,email_unique,
474,148,email_unique,
806,149,email_unique,
379,150,email_unique,
876,151,email_unique,
1099,152,email_unique,
877,153,email_unique,
182,154,email_unique,
471,155,email_unique,
470,156,email_unique,
812,157,email_unique,
180,158,email_unique,
406,159,email_unique,
848,161,email_unique,
786,162,email_unique,
530,163,email_unique,
743,164,email_unique,
860,166,email_unique,
97,170,email_unique,
98,171,email_unique,
101,172,email_unique,
104,173,email_unique,
217,175,email_unique,
682,178,email_unique,
1209,179,email_unique,
290,180,email_unique,
384,182,email_unique,
1106,183,email_unique,
690,184,email_unique,
957,187,email_unique,
292,189,email_unique,
291,191,email_unique,
316,192,email_unique,
818,193,email_unique,
706,194,email_unique,
413,195,email_unique,
702,196,email_unique,
1211,198,email_unique,
1179,199,email_unique,
828,200,email_unique,
688,203,email_unique,
201,205,email_unique,
239,207,email_unique,
236,208,email_unique,
234,210,email_unique,
873,213,email_unique,
1060,218,email_unique,
498,222,email_unique,
1127,223,email_unique,
714,224,email_unique,
1207,225,email_unique,
1132,228,email_unique,
390,231,email_unique,
709,233,email_unique,
49,234,email_unique,
56,235,email_unique,
31,236,email_unique,
11,237,email_unique,
840,238,email_unique,
832,239,email_unique,
253,240,email_unique,
1102,241,email_unique,
469,242,email_unique,
382,245,email_unique,
289,246,email_unique,
364,247,email_unique,
369,251,email_unique,
366,258,email_unique,
403,259,email_unique,
386,260,email_unique,
423,264,email_unique,
447,265,email_unique,
448,266,email_unique,
449,267,email_unique,
419,268,email_unique,
450,269,email_unique,
412,270,email_unique,
452,272,email_unique,
453,273,email_unique,
455,276,email_unique,
466,277,email_unique,
456,278,email_unique,
422,279,email_unique,
457,282,email_unique,
458,283,email_unique,
420,284,email_unique,
461,287,email_unique,
414,288,email_unique,
478,290,email_unique,
521,292,email_unique,
523,293,email_unique,
522,294,email_unique,
551,295,email_unique,
524,296,email_unique,
487,298,email_unique,
526,299,email_unique,
527,300,email_unique,
543,303,email_unique,
494,304,email_unique,
535,312,email_unique,
600,314,email_unique,
563,315,email_unique,
558,321,email_unique,
607,325,email_unique,
608,326,email_unique,
611,330,email_unique,
570,331,email_unique,
612,332,email_unique,
568,333,email_unique,
672,336,email_unique,
654,337,email_unique,
653,338,email_unique,
652,339,email_unique,
662,340,email_unique,
626,341,email_unique,
674,343,email_unique,
656,344,email_unique,
668,345,email_unique,
631,346,email_unique,
657,347,email_unique,
659,349,email_unique,
658,350,email_unique,
660,351,email_unique,
624,352,email_unique,
677,353,email_unique,
661,354,email_unique,
632,355,email_unique,
117,359,email_unique,
119,363,email_unique,
126,364,email_unique,
109,365,email_unique,
107,366,email_unique,
118,367,email_unique,
114,368,email_unique,
110,369,email_unique,
112,370,email_unique,
121,371,email_unique,
125,372,email_unique,
124,373,email_unique,
113,374,email_unique,
111,375,email_unique,
115,376,email_unique,
